Generator,Average,KS Test,Z Test,Chi Squared Test,Product of successive values,Correlation Coefficient
Uniform1Bit,127.61913,0.0044249019607842666,-0.11874591056456046,0.1701257142857143,0.250553413338826,0.0009992869280837614
Uniform8Bit,127.78161,0.004309411764705895,4.631585454420702,0.7135771428571429,0.2512030553600421,0.0011875533474303953
LCG,127.751,0.005072156862745092,16.237690810933685,1.1776,0.25062474846201466,-0.004345118812570394
KISS,127.54004,0.0023792156862745273,23.46626269859272,0.7835657142857143,0.24809039001578104,-0.024778921494825207
Hadamard1Bit,127.12298,0.006632549019607831,-2.61722850402518,0.9658285714285715,0.24854057614008956,0.0001967498713257588
Hadamard8Bit,127.75263,0.005617843137254885,-3.790750590393927,0.9593142857142858,0.2509191829326947,-0.0009053915983582541
RY1Bit,127.46283,0.004590196078431363,1.7744341026553188,0.9746742857142857,0.24984102636105354,-0.00016861203065782367
RY8Bit,127.17946,0.006233529411764693,-0.5979182431172797,1.66992,0.2486931634406681,-0.0006389091931000228
Uniform1Bit,127.69118,0.004752745098039246,-2.403132392079178,0.7170057142857144,0.25053436170655036,-0.0025651372068970033
Uniform8Bit,127.2459,0.004570980392156865,1.0145257345952674,0.5725942857142857,0.24948599935826143,0.005702576338625247
LCG,127.75264,0.004812549019607815,12.893569245798185,1.5122285714285715,0.251286823364196,0.00352737057915326
KISS,127.513,0.0022874509803921805,21.936084335112394,0.7469257142857143,0.24798830702647795,-0.024722040841955707
Hadamard1Bit,127.7332,0.0048384313725490236,3.137760981614332,1.0671542857142857,0.25132174582030403,0.004833472295068959
Hadamard8Bit,127.77798,0.004729411764705871,-0.7960049279967211,1.2091657142857144,0.2512522369360537,0.0019149671333184165
RY1Bit,127.37287,0.004722941176470541,-2.8538636703576334,1.4055542857142858,0.24897651944608593,-0.006276155016991332
RY8Bit,127.70133,0.0062282352941176455,-1.2592639280052202,2.3396114285714287,0.25094529284392797,0.0017949671981232348
Uniform1Bit,127.60396,0.004636470588235353,-4.868038065442513,0.3429257142857143,0.2505575128800115,0.001811322400044296
